"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"UX_allDay_light_on_duration","14.76613","14.21429","12.00000","11.96429","13.08838","15.16238","14.91667","14.43902","14.33333","13.77381","13.51786","13.28289"
"UX_workingday_light_on_duration","15.72619","15.60000","13.27273","14.35000","15.60662","17.52872","17.20946","17.27778","17.41667","17.50368","16.23684","16.24537"
"UX_non_workingday_light_on_duration","12.750000","10.750000"," 8.500000"," 6.000000"," 7.564516"," 9.856061"," 9.926471"," 8.964286"," 6.625000"," 6.918919"," 7.777778"," 6.011364"
"MARG_allDay_partial_light_on_ratio","0.4545667","0.9636804","0.7592784","0.7310221","0.6960612","0.5325235","0.3924665","0.4623404","0.3137515","0.6749419","0.7427893","0.7491082"
"MARG_workingday_partial_light_on_ratio","0.4167505","0.9491525","0.6773549","0.7359309","0.6677014","0.4823878","0.2783990","0.2780378","0.1725854","0.5982145","0.6766129","0.6507356"
"MARG_non_workingday_partial_light_on_ratio","0.5339809","1.0000000","0.9845679","0.7187500","0.7582699","0.6449490","0.6407310","0.8177809","0.6666667","0.8159546","0.8824951","0.9905682"
"HCC_allDay_partial_light_on_ratio","0.5467047","0.6616493","0.6917811","0.5219343","0.4792051","0.5599112","0.5383738","0.5819698","0.5184230","0.6646359","0.7005228","0.5123104"
"HCC_workingday_partial_light_on_ratio","0.4917381","0.5863091","0.5998400","0.3460926","0.4164980","0.4823471","0.4222084","0.5393724","0.4222435","0.5640093","0.6508913","0.4640050"
"HCC_non_workingday_partial_light_on_ratio","0.6621345","0.8500000","0.9446191","0.9615385","0.6167560","0.7338429","0.7912045","0.6641219","0.7588718","0.8495711","0.8053002","0.6308784"
"UX_allDay_partial_light_on_ratio","0.7089218","0.8232350","0.6319254","0.4286586","0.5240083","0.5625937","0.7634265","0.5435886","0.8467967","0.7289345","0.9448631","0.6708657"
"UX_workingday_partial_light_on_ratio","0.6547858","0.7525290","0.6130089","0.4001221","0.4605437","0.5078856","0.7148423","0.5760126","0.7855153","0.7238916","0.9713772","0.6446711"
"UX_non_workingday_partial_light_on_ratio","0.8226074","1.0000000","0.6839460","0.5000000","0.6632209","0.6852725","0.8691685","0.4810565","1.0000000","0.7382026","0.8888889","0.7351617"
"MARG_allDay_whole_day_ligit_on_count","0.2500000","0.0000000","1.8000000","0.0000000","0.4285714","0.6451613","0.2500000","1.2000000","0.6666667","0.0000000","1.0000000","1.0000000"
"MARG_workingday_whole_day_ligit_on_count","0.2500000","0.0000000","1.0000000","0.0000000","0.2857143","0.4516129","0.2500000","0.8000000","0.0000000","0.0000000","0.2500000","0.8181818"
"MARG_non_workingday_whole_day_ligit_on_count","0.0000000","0.0000000","0.8000000","0.0000000","0.1428571","0.1935484","0.0000000","0.4000000","0.6666667","0.0000000","0.7500000","0.1818182"
"HCC_allDay_whole_day_ligit_on_count","0.75000000","0.00000000","0.40000000","0.00000000","0.71428571","0.83870968","0.62500000","0.20000000","0.33333333","0.06666667","0.50000000","0.90909091"
"HCC_workingday_whole_day_ligit_on_count","0.50000000","0.00000000","0.40000000","0.00000000","0.64285714","0.77419355","0.25000000","0.20000000","0.33333333","0.06666667","0.50000000","0.72727273"
"HCC_non_workingday_whole_day_ligit_on_count","0.25000000","0.00000000","0.00000000","0.00000000","0.07142857","0.06451613","0.37500000","0.00000000","0.00000000","0.00000000","0.00000000","0.18181818"
"UX_allDay_whole_day_ligit_on_count","0.0000000","0.0000000","0.0000000","0.0000000","0.3571429","0.3548387","0.2500000","0.6000000","0.3333333","0.1333333","0.0000000","0.1818182"
"UX_workingday_whole_day_ligit_on_count","0.0000000","0.0000000","0.0000000","0.0000000","0.3571429","0.3225806","0.2500000","0.6000000","0.3333333","0.1333333","0.0000000","0.1818182"
"UX_non_workingday_whole_day_ligit_on_count","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.03225806","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"MARG_allDay_computer_lunch_time_saving_count","1.0000000","0.0000000","0.4000000","2.0000000","1.4285714","0.2903226","0.2500000","0.0000000","0.0000000","0.1333333","0.2500000","0.2727273"
"MARG_allDay_light_lunch_time_saving_count","1.0000000","2.0000000","0.4000000","0.0000000","0.3571429","0.1612903","0.5000000","0.2000000","0.3333333","0.5333333","1.2500000","0.2727273"
"MARG_workingday_computer_lunch_time_saving_count","1.0000000","0.0000000","0.4000000","2.0000000","1.4285714","0.2903226","0.2500000","0.0000000","0.0000000","0.1333333","0.2500000","0.2727273"
"MARG_workingday_light_lunch_time_saving_count","0.5000000","2.0000000","0.2000000","0.0000000","0.3571429","0.1612903","0.5000000","0.2000000","0.3333333","0.4666667","1.0000000","0.1818182"
"MARG_non_workingday_computer_lunch_time_saving_count","0","0","0","0","0","0","0","0","0","0","0","0"
