id,joined,leaved
682,1445784924285,1445784924599
683,1445817649395,1445817651918
684,1445823681808,1445823682380
685,1445828377002,1445828377284
686,1445829560196,1445829561408
0,1446018891739,1446018900597
1,1446018912165,1446018912665
5,1446019238158,1446019243099
6,1446019265936,1446019266315
7,1446019270639,1446019271851
10,1446019624789,1446019630090
0,1446020049621,1446020066556
1,1446020072460,1446020213101
3,1446020261453,1446020262560
4,1446020291091,1446020299878
5,1446020303755,1446020305085
0,1446020363544,1446020368550
1,1446020373653,1446020375268
2,1446020375349,1446020376072
3,1446020420581,1446020420655
0,1446020894653,1446020894683
1,1446020916892,1446020937587
2,1446020939224,1446020941298
11,1446021445377,1446021446276
24,1446024011850,1446024012126
25,1446024012793,1446024012810
26,1446024271006,1446024272305
28,1446024278538,1446024280393
29,1446025948424,1446025949032
30,1446026402744,1446026403943
37,1446031460072,1446031461191
38,1446031623325,1446031623720
55,1446032900174,1446032900241
56,1446032911908,1446032913428
57,1446032922078,1446032922255
58,1446032923353,1446032924084
60,1446033977238,1446033978105
62,1446034219216,1446034220008
63,1446034358529,1446034359593
64,1446034500395,1446034500754
65,1446034850169,1446034850205
66,1446034917984,1446034919502
67,1446034947151,1446034947329
68,1446035136319,1446035136362
69,1446036048267,1446036049963
70,1446036099365,1446036099743
73,1446040328976,1446040330788
74,1446040407191,1446040407950
81,1446041869015,1446041869624
82,1446042739558,1446042739803
85,1446045548749,1446045548949
86,1446045699042,1446045699408
91,1446046194149,1446046206594
92,1446046521246,1446046522309
95,1446050476104,1446050476142
96,1446051324067,1446051324384
102,1446058998193,1446058999205
112,1446067080197,1446067080728
113,1446067124871,1446067126524
114,1446067214500,1446067215530
115,1446069164095,1446069168196
116,1446077991880,1446077999268
118,1446081981573,1446081982265
119,1446082224258,1446082225736
120,1446082262747,1446082262786
121,1446082262934,1446082263084
122,1446082270967,1446082272583
123,1446082276032,1446082326905
124,1446082347461,1446082347895
125,1446082348465,1446082348646
126,1446082351385,1446082353036
127,1446082356221,1446082387556
130,1446082812283,1446082813547
131,1446084070554,1446084070750
132,1446084187451,1446084188637
133,1446084191181,1446084191813
134,1446084371537,1446084372130
135,1446084379750,1446084380185
136,1446084457759,1446084458256
137,1446084996540,1446084996737
138,1446085013294,1446085017124
139,1446085070000,1446085070173
140,1446085230673,1446085230981
141,1446085281356,1446085284770
142,1446085325236,1446085329554
143,1446085339624,1446085342237
144,1446085414940,1446085424234
145,1446085426604,1446085427503
146,1446085434432,1446085436266
147,1446085445555,1446085446103
148,1446085449381,1446085450475
149,1446085451569,1446085462829
157,1446085468573,1446085470256
159,1446085475684,1446085476698
158,1446085474229,1446085488790
160,1446085604159,1446085605047
161,1446085621131,1446085624259
162,1446085627407,1446085629184
163,1446085662818,1446085663369
164,1446085668306,1446085669950
165,1446085679589,1446085680963
166,1446085684513,1446085688693
167,1446085701088,1446085701240
168,1446085742710,1446085742917
169,1446085762417,1446085763591
170,1446085797813,1446085798894
171,1446087403518,1446087403951
172,1446087527875,1446087528220
173,1446087528259,1446087545210
174,1446087548367,1446087555164
175,1446087608949,1446087608983
176,1446087622068,1446087622789
177,1446087668190,1446087668353
178,1446087669830,1446087670252
179,1446087990211,1446087990923
180,1446088033603,1446088038795
181,1446088088836,1446088090794
182,1446088104898,1446088105672
183,1446088226803,1446088226841
184,1446088474392,1446088474809
185,1446088478302,1446088478707
186,1446088478607,1446088478707
187,1446090611194,1446090611867
188,1446091053361,1446091054115
189,1446091548109,1446091548150
190,1446091621237,1446091621442
191,1446091962082,1446091962316
192,1446091981976,1446091982407
193,1446092266282,1446092266760
194,1446092348529,1446092349136
195,1446092458294,1446092458317
197,1446092504984,1446092517247
198,1446092748902,1446092749420
199,1446093082568,1446093084049
200,1446094096571,1446094102272
201,1446094110048,1446094111645
203,1446094118830,1446094119306
204,1446094536367,1446094537133
205,1446096337623,1446096337670
206,1446097252101,1446097252142
208,1446097978345,1446097978782
207,1446097977811,1446097977995
209,1446098226937,1446098227358
210,1446098453803,1446098454361
211,1446099441057,1446099442237
212,1446100797247,1446100797351
213,1446102256986,1446102258288
214,1446103428857,1446103429603
215,1446104386980,1446104388172
216,1446104828463,1446104828935
218,1446105279431,1446105279465
219,1446105643639,1446105644189
224,1446107983607,1446107984074
223,1446107982857,1446107983242
226,1446108328940,1446108329841
227,1446108441486,1446108441516
228,1446108467910,1446108468889
229,1446108477026,1446108477761
230,1446108550942,1446108551368
269,1446108881369,1446108884260
270,1446108887893,1446108888272
271,1446108890065,1446108910977
272,1446110337018,1446110337102
273,1446110378964,1446110379528
275,1446110556864,1446110556962
280,1446111341798,1446111342069
281,1446111434062,1446111434090
282,1446111466506,1446111467627
284,1446111612577,1446111614464
285,1446112199859,1446112200973
286,1446113570034,1446113571121
287,1446114242086,1446114242110
288,1446118729144,1446118729385
292,1446125113588,1446125114029
293,1446125128345,1446125130000
294,1446125840284,1446125840516
295,1446132417426,1446132417487
297,1446145630932,1446145631411
298,1446164513554,1446164514025
299,1446165574593,1446165576233
300,1446169743900,1446169744119
301,1446169744278,1446169744318
302,1446169752496,1446169752524
303,1446169756849,1446169849019
304,1446169868801,1446169870442
305,1446169879419,1446169879601
306,1446169882898,1446169884086
307,1446169887021,1446169887986
308,1446172008014,1446172008983
309,1446172009648,1446172010122
310,1446173425132,1446173426422
311,1446174968342,1446174969137
312,1446174975640,1446174975883
313,1446177450403,1446177451432
314,1446177462856,1446177463834
315,1446179648084,1446179648120
316,1446181768911,1446181769947
317,1446181869787,1446181870405
318,1446181884020,1446181884156
320,1446181929792,1446181930207
321,1446181931437,1446181931811
319,1446181927430,1446181928639
322,1446182045573,1446182046680
323,1446182331215,1446182331425
